순,등록번호,청구기호,서명,저작자,편/권차,발행자,발행년,가격,자료실명
63,EM0000451236,843.6-에39ㄹ,리마인더스  : 밸 에미크 장편소설,지은이: 밸 에미크  ; 옮긴이: 윤정숙,,소소의책,2019,14800,임시자료실
64,EM0000451243,813.7-김69ㅁ,먹고 마시고 자라  = Eat·drink·sleep,김인숙 지음,,고즈넉이엔티,2019,13500,임시자료실
65,EM0000451257,청813.7-구44ㅂ,버드 스트라이크  : 구병모 장편소설,지은이: 구병모,,창비,2019,13000,임시자료실
66,EM0000451263,863-르828ㅅ,사랑의 대지  : J.M.G. 르 클레지오 장편소설,지은이: J.M.G. 르 클레지오  ; 옮긴이: 최수철,,문학동네,2019,15800,임시자료실
67,EM0000451268,843.6-헬233ㅅ,셀린  : 피터헬러 장편소설,지은이: 피터 헬러  ; 옮긴이: 김선형,,문학동네,2019,15500,임시자료실
68,EM0000451275,843.6-풀233ㅅ,스위밍 레슨,클레어 풀러 지음  ; 정지현 옮김,,잔,2019,13800,임시자료실
69,EM0000451278,843-고228ㅅ-1,신이 선택한 의사  : 더 피지션. 1,노아 고든 지음 ; 김소영 옮김,1,북하우스 퍼블리셔스,2019,16500,임시자료실
70,EM0000451298,814.7-김64ㅇ=2,여행의 이유  : 김영하 산문,김영하 지음,,문학동네,2019,13500,임시자료실
71,EM0000451303,818-김96ㅇ,오늘도 자기만족 중입니다  : 방전된 나를 채우는 마음 충전 에세이,글·그림: 김효정,,42 Media Contents(42미디어콘텐츠),2019,13800,임시자료실
72,EM0000451335,843.6-리67ㅈ-1,제왕의 위엄  : 켄 리우 장편소설 . 上,지은이: 켄 리우  ; 옮긴이: 장성주,1,황금가지,2019,15800,임시자료실
73,EM0000451336,843.6-리67ㅈ-2,제왕의 위엄  : 켄 리우 장편소설 . 下,지은이: 켄 리우  ; 옮긴이: 장성주,2,황금가지,2019,15800,임시자료실
74,EM0000451348,325.21-장223ㅋ,(품격 있는 공간의 가치를 창조하는) 커피랑 도서관,장덕성 지음,,매경출판,2019,17000,임시자료실
75,EM0000451362,873-에58ㅍ,푸른 세계  : 너의 혼돈을 사랑하라,알베르트 에스피노사 지음  ; 변선희 옮김,,연금술사,2019,14000,임시자료실
76,EM0000451388,981.202-유95ㄴ-1,"나의 문화유산답사기  : 중국편 . 1, 돈황과 하서주랑: 명사산 명불허전",유홍준 지음,1,창비,2019,18000,임시자료실
77,EM0000451389,981.202-유95ㄴ-2,"나의 문화유산답사기  : 중국편 . 2, 막고굴과 실크로드의 관문: 오아시스 도시의 숙명",유홍준 지음,2,창비,2019,18000,임시자료실
78,EM0000451390,985.02-노225ㄴ,남미 히피 로드  = Hippie road in South America  : 당신은 잘 지내나요? 800일간의 남미 방랑,노동효 지음,,나무발전소,2019,17000,임시자료실
79,EM0000451413,J994.2-프232ㅅ,벤자민 프랭클린  : 책을 좋아한 아이,지은이: 어거스타 스티븐슨  ; 그림: 폴 로니  ; 옮긴이: 오소희,,리빙북,2018,10000,임시자료실
80,EM0000451417,982.702-김79ㅅ,(2주 만에 다녀오는) 산티아고 프리미티보,김지상 지음,,미래문화사,2019,12800,임시자료실
81,EM0000451420,909-시211ㅅ,(독립기념일로 살펴보는) 세계 독립의 역사  : 억압에서 벗어나 시민사회가 되기까지,지은이: 알파고 시나씨,,초록비책공방,2019,15000,임시자료실
82,EM0000451428,980.24-김68ㅇ,(유튜버 허니블링의) 여행으로 먹고살기,김은지 지음,,바른번역,2019,16000,임시자료실
83,EM0000451439,J911-문72ㅇ-1,이야기 교과서 한국사  : 재미있는 우리 역사 이야기로 정복하기. 1-2,글쓴이: 문재갑 ;  그린이: 최승협,1,아롬주니어,2015,10000,임시자료실
84,EM0000451440,J911-문72ㅇ-2,이야기 교과서 한국사  : 재미있는 우리 역사 이야기로 정복하기. 1-2,글쓴이: 문재갑 ;  그린이: 최승협,2,아롬주니어,2015,10000,임시자료실
85,EM0000451441,J911-문72ㅇ-8,"이야기 교과서 한국사  : 재미있는 우리 역사 이야기로 정복하기. 8 , 개혁 군주 정조 ~ 조선의 멸망",글쓴이: 문재갑  ; 그린이: 최승협,8,아롬주니어,2018,10000,임시자료실
86,EM0000451446,982.02-최813ㅇ,(Just go) 유럽 5개국  = Europe  : 영국·프랑스·스위스·이탈리아·스페인,최철호 지음,,시공사,2019,19000,임시자료실
87,EM0000451455,309.113-지18,지금은 일본을 읽을 시간  : 교사들이 제안하는 일본 바로 알기,"심형철, 장은지, 이선우, 한윤경, 김미정 지음",,세그루,2019,15000,임시자료실
88,EM0000451647,J031-마238ㄴ,(13살을 위한) 놀라운 잡학 사전 321,글: 마틸다 마스터르스  ; 그림: 라우이저 페르디위스  ; 옮김: 최진영,,그린북,2019,18000,임시자료실
89,EM0000451648,J005.1-정67ㅁ,메가 코딩  : 메카트로닉스 종목대비,정윤호 저,,훈스토리,2019,16000,임시자료실
90,EM0000451649,J031-브239-65,브리태니커 만화백과  = Encyclopedia Britannica . 65-66,봄봄 스토리 글 ; 이태영 그림,65,Mirae N 아이세움,2019,11000,임시자료실
91,EM0000451650,J031-브239-66,브리태니커 만화백과  = Encyclopedia Britannica . 65-66,봄봄 스토리 글 ; 이태영 그림,66,Mirae N 아이세움,2019,11000,임시자료실
92,EM0000451651,J004-에69-3,"AI 냥냥이의 미래과학 교과서 . 3, 빅데이터가 미래를 알려준다고?!",지은이: 와쿠이 요시우키  ; 옮긴이: 김정환,3,아름다운사람들,2019,12000,임시자료실
93,EM0000451652,J005.1-송51ㅇ,(송쌤의) 엔트리 게임 코딩 학교,송상수 지음,,제이펍,2019,18000,임시자료실
94,EM0000451653,J031-프231ㅇ,알고 보면 쓸모 있는 엉뚱한 비교 100,스테판 프라티니 지음  ; 뱅상 리프 그림  ; 최정수 옮김,,재미북스(과학어린이),2019,14500,임시자료실
95,EM0000451654,J031-프239ㅇ,알고 보면 쓸모 있는 엉뚱한 질문 100,글: 스테판 프라티니  ; 그림: 로베르  ; 옮김: 이정주,,재미북스,2019,14500,임시자료실
96,EM0000451655,MC 005.1-마58ㅇ-1,"알쏭달쏭 알고리즘이 궁금해  : 코딩 전에 배우는 알고리즘 그림책 . 1, 생활 속 알고리즘 찾기",감수: 마쓰다 다카시  ; 김정화 옮김,1,주니어RHK,2019,12000,임시자료실
97,EM0000451656,J004.5-베63ㅇ,온라인 세상으로 로그인하세요  : 어린이가 처음 만나는 IT,야네 베어-크라우제 ; 크리스티네 크레치머 글  ; 얀 폰 홀레벤 사진  ; 문성원 옮김,,토토북,2019,13000,임시자료실
98,EM0000451657,J004-에69-1,"AI 냥냥이의 미래과학 교과서 . 1, 인공지능 로봇이 전학을 온다면?",감수: 아라이 노리코  ; 옮긴이: 김정환,1,아름다운사람들,2019,12000,임시자료실
99,EM0000451658,J004-에69-2,"AI 냥냥이의 미래과학 교과서 . 2, 컴퓨터에 나쁜 해커가 침입했어!",감수: 무라이 준 ; 사토 마사아키  ; 옮긴이: 김정환,2,아름다운사람들,2019,12000,임시자료실
100,EM0000451659,J031-브239-65=2,"브리태니커 만화백과  = Encyclopedia Britannica . 65, 코딩",봄봄 스토리 글 ; 이태영 그림,65,Mirae N 아이세움,2019,11000,임시자료실
101,EM0000451660,J873-세231ㄱ,걱정이 너무 많아요,필라 세라노 지음  ; 강민경 옮김  ; 수사나 로시크 그림,,삼성당,2019,12000,임시자료실
102,EM0000451661,MC 183.2-이219ㅇ-3,"안아주기 그림책 . 3, 걱정하는 마음 안아주기",쇼나 이시스 글  ; 이리스 어고치 그림  ; 엄혜숙 옮김,3,을파소,2019,12000,임시자료실
103,EM0000451662,MC 813.8-정72ㄴ,나 좀 멋져,글·그림: 정재경,,한솔수북,2019,12000,임시자료실
104,EM0000451663,MC 183.2-이219ㅇ-5,"안아주기 그림책 . 5, 나의 마음 안아주기",쇼나 이니스 지음  ; 엄혜숙 옮김  ; 이리스 어고치 그림,5,을파소,2019,12000,임시자료실
105,EM0000451664,MC 813.8-유91ㄸ,또또나무,글: 유하정  ; 그림: 안효림,,책고래,2019,13000,임시자료실
106,EM0000451665,MC 183.2-이219ㅇ-4,"안아주기 그림책 . 4, 보고싶은 마음 안아주기",쇼나 이니스 지음  ; 이리스 어고치 그림  ; 엄혜숙 옮김,4,을파소,2019,12000,임시자료실
107,EM0000451666,J181.5-메75ㅈ-4,"(상상수집가) 조르주. 4 , 샴푸",메종 조르주 출판사 기획  ; 글: 뱅상 자도 외 3인  ; 그림: 세브렝 미예 외 10인  ; 옮김: 이희정,4,고래뱃속,2019,10000,임시자료실
108,EM0000451667,J843-후228ㅅ,생각이 필요해  : 반대를 보는 새로운 시각,수잔 후드 글  ; 제이 플렉 그림  ; 정화진 옮김,,달리,2019,12000,임시자료실
109,EM0000451668,J183-프239ㅅ,실수 때문에 마음이 무너지면 어떻게 하나요?  : 완벽주의와 씨름하는 아이를 위한 마음 훈련,"글: 클레어 프리랜드, 재클린 토너  ; 그림: 김영미  ; 옮김: 김민화",,뜨인돌어린이,2019,13500,임시자료실
110,EM0000451669,J199-김14ㅇ,(몸과 마음을 튼튼하게 하는) 어린이 습관 사전,글: 김경옥  ; 그림: 이주현,,그린북,2019,17000,임시자료실
111,EM0000451670,J199-한64ㅇ,열 살 채근담을 만나다,지은이: 한영희  ; 그린이: 소소림,,어린이나무생각,2019,12000,임시자료실
112,EM0000451671,J813.8-권68ㅈ,잔소리 증후군에 걸린 해리,권은하 글  ; 오우성 그림,,한마당,2019,12000,임시자료실
113,EM0000451672,J190-마69-1,"마인드스쿨. 1 , 자신감이 필요해!",네온비 글  ; 도도 그림,1,고릴라박스,2014,11000,임시자료실
114,EM0000451673,J873-에58ㅊ,추리 게임  : 수상한 25개 사건의 미스터리를 풀어라!,빅토르 에스칸델 그림  ; 아나 가요 수수께끼 선별 및 각색  ; 권지현 옮김,,씨드북,2019,14000,임시자료실
115,EM0000451674,MC 183.2-이219ㅇ-2,"안아주기 그림책 . 2, 친구 마음 안아주기",쇼나 이니스 지음  ; 이리스 어고치 그림  ; 엄혜숙 옮김,2,을파소,2019,12000,임시자료실
116,EM0000451675,MC 183.2-이219ㅇ-1,"안아주기 그림책 . 1, 화난 마음 안아주기",쇼나 이니스 지음 ; 이리스 어고치 그림 ; 엄혜숙 옮김,1,을파소,2019,12000,임시자료실
117,EM0000451676,J219.2-이94ㄱ-9,"(문학과 예술이 살아 있는) 그리스 로마 신화 : 이현세 만화. 9, 트로이로 진격하라",이현세 지음,9,녹색지팡이&프레스,2019,12000,임시자료실
118,EM0000451677,J227-조64ㅇ,(노래로 배우는) 어린이 기초교리 찬불가,작곡: 조영근,,코레드,2018,10000,임시자료실
119,EM0000451678,J233-시215ㅁ-1,만화 창세기 . 1-3,작가: 켈리 고즈미 시노자와,1,문광서원,2019,10000,임시자료실
120,EM0000451679,J233-시215ㅁ-2,만화 창세기 . 1-3,작가: 켈리 고즈미 시노자와,2,문광서원,2019,10000,임시자료실
121,EM0000451680,J233-시215ㅁ-3,만화 창세기 . 1-3,작가: 켈리 고즈미 시노자와,3,문광서원,2019,10000,임시자료실
122,EM0000451681,J998.2-베213ㅎ,악마를 물리친 베네딕토,황중선 글·그림,,바오로딸,2019,13000,임시자료실
123,EM0000451682,J233-로823ㅇ,예수님이 다시 살아나셨어요,패티 로커스 지음,,생명의말씀사,2019,11000,임시자료실
124,EM0000451683,J233-엘239ㅇ,와! 나도 성경을 읽어요  : 낱말을 배우며 함께 읽는 성경 이야기,지은이: 그웬 엘리스  ; 그린이: 스티브 스몰먼  ; 옮긴이: 김경희,,성서유니온,2019,15000,임시자료실
125,EM0000451684,MC 233-김39ㅇ-1,와글와글 찾아라 성경  : 하나님을 만나요! 믿음이 자라요! 생각하는 힘이 커져요! . 1-3,김미란 엮음  ; 신은미 그림,1,겨자씨,2019,8500,임시자료실
126,EM0000451685,MC 233-김39ㅇ-2,와글와글 찾아라 성경  : 하나님을 만나요! 믿음이 자라요! 생각하는 힘이 커져요! . 1-3,김미란 엮음  ; 신은미 그림,2,겨자씨,2019,8500,임시자료실
127,EM0000451686,MC 233-김39ㅇ-3,와글와글 찾아라 성경  : 하나님을 만나요! 믿음이 자라요! 생각하는 힘이 커져요! . 1-3,김미란 엮음  ; 신은미 그림,3,겨자씨,2019,8500,임시자료실
128,EM0000451687,J239.3-해41ㅌ,(1~2학년이 보는) 탈무드 30,글: 해바라기 기획  ; 그림: 김진경,,토피,2019,12000,임시자료실
129,EM0000451688,MC 375.1-로69ㄷ=2,(로보카 폴리) 대청소 소동!  : 절약,로이비쥬얼 원작  ; 최재숙 부모 가이드,,로이BOOKS(로이북스),2018,7500,임시자료실
130,EM0000451689,MC 813.8-천39ㅊ=2,(이빨 요정) 치요,천미진 글  ; 미루 그림,,키즈엠,2018,12000,임시자료실
131,EM0000451690,J321.55-김51ㅅ,(어린이를 위한) 4차 산업혁명 직업 탐험대,김상현 글  ; 박선하 그림,,팜파스,2019,12000,임시자료실
132,EM0000451691,J321.55-탄831-[6],"탄탄 미래직업 속으로 . [6], 게임 시나리오 작가가 될 테야",최영근 글  ; 김중석 그림,[6],여원미디어,[2019],12000,임시자료실
133,EM0000451692,J321.55-탄831-[7],"탄탄 미래직업 속으로 . [7], 금융인이 될 테야",서희주 글 ; 조재석 그림,[7],여원미디어,[2019],12000,임시자료실
134,EM0000451693,J843-그231ㄴ,"난민, 세 아이 이야기",글: 앨런 그라츠  ; 옮김: 공민희,,밝은미래,2019,14500,임시자료실
135,EM0000451694,MC 710-정211ㄴ,냠냠한글가나다,"정낙묵 글  ; 장순일, 이제호 그림",,고인돌,2019,12000,임시자료실
136,EM0000451695,J309-북91,(맛있게 읽는) 북한이야기,"문인철, 간우연, 이미경, 임상순, 엄현숙, 양미정, 최영일 지음  ; 이미경 그림",,박영사,2019,13000,임시자료실
137,EM0000451696,J331-골228ㅁ,미래는 어떨까요?,"브뤼노 골드만, 마리 J. 길레 글  ; 하프밥 그림  ; 이정주 옮김",,개암나무,2019,11000,임시자료실
138,EM0000451697,MC 813.8-석813ㅂ,바퀴야 다 모여!  : 누구바퀴일까  : 석철원 그림책,글·그림: 석철원,,여유당출판사,2019,10000,임시자료실
139,EM0000451698,J321.55-탄831-[8],"탄탄 미래직업 속으로 . [8], 별난 직업 새로운 직업",오세경 글  ; 오윤화 그림,[8],여원미디어,[2019],12000,임시자료실
