year_local,area,year,10a당 생산량 (kg)
2018_강원도,강원도,2018,5542
2019_강원도,강원도,2019,6014
1981_충청북도,충청북도,1981,2493
1982_충청북도,충청북도,1982,-
1983_충청북도,충청북도,1983,3775
1984_충청북도,충청북도,1984,-
1985_충청북도,충청북도,1985,-
1986_충청북도,충청북도,1986,-
1987_충청북도,충청북도,1987,-
1988_충청북도,충청북도,1988,-
1989_충청북도,충청북도,1989,-
1990_충청북도,충청북도,1990,-
1991_충청북도,충청북도,1991,-
1992_충청북도,충청북도,1992,4233
1993_충청북도,충청북도,1993,0
1994_충청북도,충청북도,1994,0
1995_충청북도,충청북도,1995,0
1996_충청북도,충청북도,1996,3998
1997_충청북도,충청북도,1997,0
1998_충청북도,충청북도,1998,4631
1999_충청북도,충청북도,1999,5632
2000_충청북도,충청북도,2000,5089
2001_충청북도,충청북도,2001,5221
2002_충청북도,충청북도,2002,6461
2003_충청북도,충청북도,2003,6246
2004_충청북도,충청북도,2004,6500
2005_충청북도,충청북도,2005,5942
2006_충청북도,충청북도,2006,5364
2007_충청북도,충청북도,2007,5186
2008_충청북도,충청북도,2008,4592
2009_충청북도,충청북도,2009,4015
2010_충청북도,충청북도,2010,3861
2011_충청북도,충청북도,2011,3509
2012_충청북도,충청북도,2012,3856
2013_충청북도,충청북도,2013,4053
2014_충청북도,충청북도,2014,4569
2015_충청북도,충청북도,2015,3467
2016_충청북도,충청북도,2016,5437
2017_충청북도,충청북도,2017,3836
2018_충청북도,충청북도,2018,5226
2019_충청북도,충청북도,2019,4353
1981_충청남도,충청남도,1981,2537
1982_충청남도,충청남도,1982,2258
1983_충청남도,충청남도,1983,3884
1984_충청남도,충청남도,1984,2662
1985_충청남도,충청남도,1985,3786
1986_충청남도,충청남도,1986,2458
1987_충청남도,충청남도,1987,3604
1988_충청남도,충청남도,1988,3332
1989_충청남도,충청남도,1989,4650
1990_충청남도,충청남도,1990,4460
1991_충청남도,충청남도,1991,4061
1992_충청남도,충청남도,1992,4233
1993_충청남도,충청남도,1993,4120
1994_충청남도,충청남도,1994,3620
1995_충청남도,충청남도,1995,4072
1996_충청남도,충청남도,1996,3998
1997_충청남도,충청남도,1997,4139
1998_충청남도,충청남도,1998,4631
1999_충청남도,충청남도,1999,5547
2000_충청남도,충청남도,2000,4999
2001_충청남도,충청남도,2001,4350
2002_충청남도,충청남도,2002,4881
2003_충청남도,충청남도,2003,4838
2004_충청남도,충청남도,2004,4718
2005_충청남도,충청남도,2005,5462
2006_충청남도,충청남도,2006,4475
2007_충청남도,충청남도,2007,5258
2008_충청남도,충청남도,2008,6137
2009_충청남도,충청남도,2009,6313
2010_충청남도,충청남도,2010,3990
2011_충청남도,충청남도,2011,6276
2012_충청남도,충청남도,2012,3936
2013_충청남도,충청남도,2013,4191
2014_충청남도,충청남도,2014,6628
2015_충청남도,충청남도,2015,5707
2016_충청남도,충청남도,2016,6270
2017_충청남도,충청남도,2017,5243
2018_충청남도,충청남도,2018,5570
2019_충청남도,충청남도,2019,5500
1981_전라북도,전라북도,1981,1542
1982_전라북도,전라북도,1982,2842
1983_전라북도,전라북도,1983,3868
1984_전라북도,전라북도,1984,2547
1985_전라북도,전라북도,1985,3065
1986_전라북도,전라북도,1986,2261
1987_전라북도,전라북도,1987,3006
1988_전라북도,전라북도,1988,3739
