year_local,area,year,재배면적 (ha)
2018_경상남도,경상남도,2018,5471
2019_경상남도,경상남도,2019,4330
2010_제주도,제주도,2010,1196
2011_제주도,제주도,2011,1252
2012_제주도,제주도,2012,769
2013_제주도,제주도,2013,621
2014_제주도,제주도,2014,882
2015_제주도,제주도,2015,641
2016_제주도,제주도,2016,1566
2017_제주도,제주도,2017,1116
2018_제주도,제주도,2018,1254
2019_제주도,제주도,2019,1130
