year_local,area,year,1월 미세먼지PM10,2월 미세먼지PM10,3월 미세먼지PM10,4월 미세먼지PM10,5월 미세먼지PM10,6월 미세먼지PM10,7월 미세먼지PM10,8월 미세먼지PM10,9월 미세먼지PM10,10월 미세먼지PM10,11월 미세먼지PM10,12월 미세먼지PM10
2017_전라남도,전라남도,2017,36,33,42,45,51,34,30,25,30,25,39,34
2018_전라남도,전라남도,2018,37,42,39,51,35,35,26,23,23,29,45,37
2019_전라남도,전라남도,2019,42,47,48,33,41,31,,NaN,NaN,NaN,NaN,NaN
2010_경상북도,경상북도,2010,50,47,62,48,54,44,33,33,31,37,64,59
2011_경상북도,경상북도,2011,42,66,64,55,69,48,33,29,32,43,47,46
2012_경상북도,경상북도,2012,57,53,52,55,52,39,37,29,32,43,50,43
2013_경상북도,경상북도,2013,66,52,67,52,61,47,39,42,35,38,47,55
2014_경상북도,경상북도,2014,65,55,57,59,66,47,42,32,33,39,47,43
2015_경상북도,경상북도,2015,50,68,63,45,49,44,33,35.0,30.0,41.0,32,45
2016_경상북도,경상북도,2016,45,42,48,55,47,34,25,24,31,34,50,44
2017_경상북도,경상북도,2017,47,41,47,46,51,35,30,22,32,31,49,47
2018_경상북도,경상북도,2018,48,52,48,63,48,39,32,24,28,35,60,49
2019_경상북도,경상북도,2019,62,57,60,43,47,33,,NaN,NaN,NaN,NaN,NaN
2010_경상남도,경상남도,2010,45,42,61,45,52,43,36,36,31,39,59,57
2011_경상남도,경상남도,2011,37,60,54,53,71,49,34,31,31,42,41,40
2012_경상남도,경상남도,2012,46,45,48,50,53,38,36,29,33,41,47,39
2013_경상남도,경상남도,2013,61,48,63,47,58,44,37,44,34,38,45,50
2014_경상남도,경상남도,2014,64,52,52,52,67,48,40,29,37,41,48,42
2015_경상남도,경상남도,2015,48,64,57,47,51,49,39,38,31,45,35,43
2016_경상남도,경상남도,2016,45,47,52,59,53,42,33,36,37,38,50,44
2017_경상남도,경상남도,2017,46,42,50,52,55,42,39,29,35,30,48,43
2018_경상남도,경상남도,2018,43,49,42,60,42,41,35,28,29,34,52,43
2019_경상남도,경상남도,2019,49,51,51,40,47,36,,NaN,NaN,NaN,NaN,NaN
2010_제주도,제주도,2010,54,41,71,47,58,37,31,29,29,45,86,53
2011_제주도,제주도,2011,32,54,49,51,80,41,28,28,29,41,37,36
2012_제주도,제주도,2012,47,38,44,40,49,20,20,19,29,36,40,25
2013_제주도,제주도,2013,42,34,54,42,53,33,28,32,33,38,49,45
2014_제주도,제주도,2014,56,46,56,49,77,51,38,30,33,38,39,46
2015_제주도,제주도,2015,49,61,59,47,42,41,34,35,33,50.0,38.0,41
2016_제주도,제주도,2016,43,50,50,58,53,34,27,29,35,40,39,36
2017_제주도,제주도,2017,35,37,44,54,47,37,26,28.0,32.0,27,40,34
2018_제주도,제주도,2018,33,42,42,55,37,33,28,25,26,30,39,30
2019_제주도,제주도,2019,35,42,50,38,43,30,,NaN,NaN,NaN,NaN,NaN
