구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주
2013년02월,2048.18,1945.71,1930.95,1958.90,1935.73,1955.93,1940.11,1965.06,1947.51,1948.36,1954.82,1941.18,1937.46,1930.49,1933.29,1999.16
2013년03월,2067.42,1974.80,1964.42,1992.90,1971.66,1990.70,1969.42,1994.05,1989.16,1981.45,1990.88,1980.79,1978.19,1970.50,1970.83,1999.32
2013년04월,2021.94,1930.77,1920.20,1951.01,1925.78,1953.57,1928.86,1954.64,1958.37,1952.21,1962.57,1943.70,1944.03,1933.59,1936.91,1942.40
2013년05월,1973.61,1883.53,1871.39,1900.34,1871.24,1905.22,1874.43,1903.96,1906.29,1900.68,1916.72,1891.36,1892.13,1883.28,1887.61,1940.01
2013년06월,1988.33,1890.38,1877.41,1904.16,1877.05,1904.56,1888.15,1910.84,1902.95,1901.04,1911.67,1891.29,1887.74,1880.86,1884.75,1969.88
2013년07월,2021.12,1928.19,1911.17,1934.39,1914.28,1935.78,1923.55,1943.73,1935.61,1928.47,1935.23,1921.81,1918.03,1910.93,1914.73,2005.89
2013년08월,2022.94,1946.09,1924.43,1944.28,1932.53,1950.69,1936.15,1953.96,1954.17,1944.48,1951.26,1938.09,1939.72,1931.93,1934.53,1969.17
2013년09월,2006.54,1927.54,1907.10,1925.56,1915.62,1933.32,1920.51,1940.18,1941.06,1933.83,1943.75,1924.45,1929.05,1921.27,1923.87,1944.29
2013년10월,1972.04,1892.76,1866.18,1892.86,1876.78,1894.57,1889.76,1909.60,1916.20,1903.49,1916.65,1895.92,1898.73,1889.33,1893.23,1895.19
2013년11월,1949.54,1864.08,1838.88,1870.38,1851.35,1871.20,1859.83,1887.68,1892.15,1884.88,1894.88,1875.70,1873.22,1863.69,1868.27,1891.52
2013년12월,1957.48,1868.44,1849.36,1878.79,1854.44,1875.61,1861.99,1890.98,1888.95,1883.05,1890.65,1875.74,1869.49,1861.64,1868.24,1908.87
2014년01월,1964.89,1879.01,1857.90,1885.79,1862.02,1879.29,1865.81,1894.19,1890.16,1885.56,1892.85,1883.24,1877.00,1867.72,1875.61,1910.05
2014년02월,1962.99,1873.40,1852.57,1879.73,1856.59,1874.58,1855.68,1888.04,1884.38,1878.84,1887.46,1873.95,1872.24,1862.19,1871.23,1910.65
2014년03월,1969.42,1872.68,1857.54,1878.38,1860.90,1879.66,1855.54,1888.47,1882.93,1876.18,1886.38,1871.75,1870.05,1862.75,1869.23,1921.08
2014년04월,1963.11,1865.02,1850.23,1875.01,1857.20,1876.33,1852.08,1883.46,1878.99,1872.30,1882.45,1865.94,1866.31,1858.26,1863.80,1909.85
2014년05월,1955.13,1858.37,1841.97,1870.46,1848.59,1867.71,1844.75,1876.68,1875.24,1868.19,1877.89,1859.38,1861.84,1851.42,1857.74,1889.22
2014년06월,1951.91,1852.17,1832.62,1863.94,1840.90,1856.08,1837.07,1869.10,1868.75,1860.07,1869.90,1849.03,1853.27,1841.38,1848.82,1878.69
2014년07월,1952.69,1848.06,1825.77,1858.19,1835.88,1846.06,1833.04,1865.46,1864.07,1854.98,1863.52,1843.48,1847.35,1836.53,1842.65,1886.31
2014년08월,1934.18,1832.69,1811.35,1840.57,1826.13,1830.38,1820.53,1848.36,1849.51,1841.92,1850.96,1830.63,1835.78,1823.28,1831.23,1844.83
2014년09월,1907.21,1807.07,1783.81,1811.75,1802.52,1805.06,1796.15,1820.00,1818.48,1815.32,1823.05,1799.60,1810.64,1796.31,1805.41,1795.83
2014년10월,1869.92,1768.25,1748.82,1774.78,1763.50,1767.30,1759.22,1786.17,1788.02,1783.98,1792.47,1767.25,1780.17,1764.58,1773.56,1764.75
2014년11월,1814.65,1714.92,1698.43,1721.34,1712.08,1714.23,1703.86,1734.91,1738.90,1734.65,1742.67,1718.32,1732.83,1716.29,1721.40,1696.96
2014년12월,1732.72,1637.64,1620.62,1639.38,1641.04,1635.37,1628.88,1651.51,1658.75,1662.27,1667.77,1644.01,1659.28,1641.19,1642.97,1607.50
2015년01월,1580.22,1486.47,1470.73,1487.51,1494.48,1484.46,1484.97,1503.18,1514.91,1520.37,1525.24,1495.24,1513.73,1490.22,1494.95,1469.33
2015년02월,1528.92,1434.36,1409.11,1441.78,1432.88,1433.63,1421.24,1448.30,1440.47,1442.03,1448.87,1424.97,1432.84,1410.38,1422.45,1486.64
2015년03월,1597.06,1508.60,1486.76,1514.56,1500.41,1503.76,1497.49,1518.13,1507.06,1506.47,1510.81,1496.20,1496.68,1481.81,1490.11,1549.77
