,카드뮴 Cd,구리 Cu,비소 As,수은 Hg,납 Pb,6가크롬 Cr6+,아연 Zn,니켈 Ni,불소 F,유기인,폴리클로리네이티드비페닐 PCB,시안 CN,페놀류,유류,트리클로로에틸렌 TCE,테트라클로로에틸렌 PCE,수소이온농도 pH
2004_전라남도,0.06398899999999999,15.625704500000001,3.6868005,0.024066999999999998,12.708107499999999,0.1587875,57.95855999999999,13.478003000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.588432
2004_전라북도,0.06254499999999999,15.227918500000001,3.6031605,0.023472,12.419993999999999,0.15426600000000001,56.60075,13.1760175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4858
2004_제주도,0.063523,15.5452195,3.6602774999999994,0.02393,12.616546999999999,0.158323,57.573269999999994,13.3782535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.554344
2004_충청남도,0.061931,15.1910795,3.5688915,0.023370999999999996,12.3014035,0.1550915,56.16954,13.041272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.439488
2004_충청북도,0.058414999999999995,14.0377775,3.3634275,0.02171,11.594404999999998,0.140245,52.659349999999996,12.3148175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19332
2005_강원도,0.048857,13.942386500000001,2.8346505,0.020687,9.762489500000001,0.1630255,46.47488,10.194359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.462736
2005_경기도,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2005_경상남도,0.08093499999999999,21.0140935,4.6754055,0.031877,16.1105765,0.2268085,74.68860000000001,16.987434999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.778320000000001
2005_경상북도,0.072637,19.1879485,4.1992665,0.028985999999999998,14.468535,0.210375,67.39373,15.2300365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1792560000000005
2005_광주광역시,0.07335599999999999,18.89835,4.236138,0.028721999999999998,14.597553,0.20249699999999998,67.53114,15.403766999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.240208
2005_대구광역시,0.072586,19.151281,4.196091,0.028939,14.4576895,0.2097455,67.32079,15.2204545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.176088
2005_대전광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2005_부산광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2005_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005_세종특별자치시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005_울산광역시,0.061778,16.720948999999997,3.575421,0.025113999999999997,12.317425,0.18726500000000001,57.762119999999996,12.933955999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.396864
2005_인천광역시,0.044,12.878,2.556,0.019,8.8015,0.1535,42.21,9.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.112
2005_전라남도,0.047741,13.7027165,2.7706725,0.020305,9.5418265,0.16093849999999998,45.50034,9.957722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.382048
2005_전라북도,0.052686,14.792859,3.0544350000000002,0.02203,10.520419,0.170771,49.84964,11.004912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.739008
2005_제주도,0.04572,13.25718,2.6547,0.0196,9.14188,0.15692,43.7228,9.52974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23616
2005_충청남도,0.047526,13.655319,2.758335,0.020229999999999998,9.499279000000001,0.160511,45.31124,9.912192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.366528
2005_충청북도,0.058914999999999995,16.1469955,3.4116915,0.024181,11.7525445,0.1827605,55.3072,12.324925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18904
2006_강원도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_경기도,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_경상남도,0.048367999999999994,11.050616,2.7793319999999997,0.017318,9.583283,0.10422700000000001,42.96962,10.224191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.483664
2006_경상북도,0.054307999999999995,12.789146,3.124392,0.019882999999999998,10.771485499999999,0.1249495,48.66797,11.4615335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.903784
2006_광주광역시,0.050025,11.625658499999998,2.8764705,0.018137,9.917406499999998,0.1118785,44.658699999999996,10.56504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5990400000000005
2006_대구광역시,0.052517,12.3053285,3.0207464999999996,0.019156,10.414419999999998,0.11954000000000001,46.994429999999994,11.0865215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7762960000000003
2006_대전광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_부산광역시,0.022,6.439,1.278,0.0095,4.40075,0.07675,21.105,4.58275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556
2006_서울특별시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
